Result,A,B,C,D
RunTime(ms),18573,19308,19456
Throughput(ops/sec),5384.159801862919,5179.200331468821,5139.8026315789475
Count,268,270,275
Time(ms),206,202,218
Time(%),1.1091369191837614,1.046198466956702,1.1204769736842104
Count,0,0,0
Time(ms),0,0,0
Time(%),0.0,0.0,0.0
Count,268,270,275
Time(ms),206,202,218
Time(%),1.1091369191837614,1.046198466956702,1.1204769736842104
Operations,1,1,1
AverageLatency(us),6626.0,7962.0,8636.0
MinLatency(us),6624,7960,8632
MaxLatency(us),6627,7963,8639
95thPercentileLatency(us),6627,7963,8639
99thPercentileLatency(us),6627,7963,8639
Operations,100000,100000,100000
AverageLatency(us),169.02833,175.15247,177.5942
MinLatency(us),16,17,18
MaxLatency(us),274431,323839,322559
95thPercentileLatency(us),57,57,59
99thPercentileLatency(us),1165,1112,1074
Return=OK,100000,100000,100000
