Result,A,B,C,D
RunTime(ms),35245,5749,24788,26817
Throughput(ops/sec),2837.281883955171,1739.4329448599756,4034.2101016620945,3728.9778871611293
Count,435,69,621,604
Time(ms),366,78,488,485
Time(%),1.0384451695275927,1.356757696990781,1.9686945296111023,1.8085542752731478
Count,0,0,0,0
Time(ms),0,0,0,0
Time(%),0.0,0.0,0.0,0.0
Count,435,69,621,604
Time(ms),366,78,488,485
Time(%),1.0384451695275927,1.356757696990781,1.9686945296111023,1.8085542752731478
Operations,49897,9465,100000,94946
AverageLatency(us),628.3144076798204,456.9042789223455,230.51037,259.27885324289593
MinLatency(us),156,182,147,144
MaxLatency(us),138751,117695,115647,108031
95thPercentileLatency(us),2305,1668,247,352
99thPercentileLatency(us),5047,4899,2227,2913
Return=OK,49897,9465,100000,94946
Operations,1,1,1,1
AverageLatency(us),2571.0,2299.0,2411.0,2333.0
MinLatency(us),2570,2298,2410,2332
MaxLatency(us),2571,2299,2411,2333
95thPercentileLatency(us),2571,2299,2411,2333
99thPercentileLatency(us),2571,2299,2411,2333
Operations,50103,535,5054
AverageLatency(us),46.46468275352773,531.3551401869158,107.92520775623268
MinLatency(us),17,76,37
MaxLatency(us),109695,14871,22655
95thPercentileLatency(us),69,2183,183
99thPercentileLatency(us),186,5799,762
Return=OK,50103,535,5054
