Result,A,B,D
RunTime(ms),8121,7935,8683
Throughput(ops/sec),12313.754463735993,12602.39445494644,11516.756881262236
Count,331,328,331
Time(ms),129,142,106
Time(%),1.5884743258219431,1.7895400126023944,1.2207762294137972
Count,0,0,0
Time(ms),0,0,0
Time(%),0.0,0.0,0.0
Count,331,328,331
Time(ms),129,142,106
Time(%),1.5884743258219431,1.7895400126023944,1.2207762294137972
Operations,1,1,1
AverageLatency(us),1297.0,1267.0,1241.0
MinLatency(us),1297,1267,1241
MaxLatency(us),1297,1267,1241
95thPercentileLatency(us),1297,1267,1241
99thPercentileLatency(us),1297,1267,1241
Operations,100000,100000,100000
AverageLatency(us),76.30931,74.81172,81.92661
MinLatency(us),54,56,52
MaxLatency(us),15623,13271,29567
95thPercentileLatency(us),83,80,87
99thPercentileLatency(us),123,123,160
Return=OK,100000,100000,100000
